Role,Description,Responsibilities,Keywords,Positive keywords,Negative keywords,Related roles
Project Manager,"Plans, organizes, and coordinates project work to ensure goals, timelines, and deliverables are met.","define project scope; coordinate tasks; manage timelines; communicate progress; organize resources; track deliverables","leadership, planning, coordination, coordinating, managing, organizing, timeline, schedule, project management, deliverables","leadership, planning, coordination, organized, schedule, timeline, project management, delegation, initiative, decision-making, stakeholder communication","disorganized, passive, unclear, missed deadlines, poor coordination, indecisive, unplanned","Coordinator, Reviewer, Writer, Business Analyst"

Coordinator,"Coordinates people, tasks, communication, timelines, and project activities across a team or department.","schedule meetings; follow up on tasks; coordinate communication; support project planning; track action items; connect stakeholders","coordination, coordinating, schedule, communication, organizing, planning, logistics, follow-up, project support, collaboration","organized, communicative, collaborative, follow-up, planning, scheduling, teamwork, supportive, coordination, task tracking","unresponsive, isolated, poor communication, disorganized, missed follow-up, uncooperative","Project Manager, Reviewer, Writer, Communications Specialist"

Developer,"Develops, updates, and maintains technical systems, applications, or digital tools.","build software; update applications; troubleshoot code; support technical implementation; collaborate on system design; maintain digital tools","coding, design, testing, software, development, debugging, programming, frontend, backend, web, application","coding, software, development, debugging, web, application, frontend, backend, technical implementation, system design","no coding experience, unfamiliar with software, limited technical experience, avoids troubleshooting, unable to debug","Programmer, Designer, Tester, Systems Analyst"

Programmer,"Writes, debugs, and maintains code, scripts, or software components.","write code; debug programs; automate tasks; maintain scripts; test technical logic; support software implementation","software development, debugging, programming, coding, software, development, frontend, backend, web, application, script, python, java, c++, c#, javascript, code","programming, coding, python, java, c++, c#, javascript, scripting, debugging, automation, software development","limited coding, no programming experience, unfamiliar with scripts, poor debugging, avoids technical problem solving","Developer, Tester, Data Engineer"

Tester,"Tests outputs, identifies errors, checks quality, and validates performance before deployment or completion.","run tests; identify bugs; validate outputs; document issues; check quality; confirm requirements are met","quality assurance, test planning, testing, debugging, bugs, qa, automation, validation, troubleshooting","testing, QA, validation, troubleshooting, bug reporting, quality assurance, attention to detail, test planning, verification","untested, careless, overlooks errors, poor attention to detail, no validation experience, ignores bugs","Developer, Programmer, Reviewer, Quality Assurance Specialist"

